Ref,Val,Package,PosX,PosY,Rot,Side
R18,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,155.798000,-153.650000,90.000000,top
R19,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,155.798000,-162.000000,90.000000,top
R20,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.400000,-161.450000,270.000000,top
R21,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,155.798000,-157.950000,90.000000,top
R22,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.066000,-151.900000,0.000000,top
R23,51R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,141.066000,-154.050000,0.000000,top
R24,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,206.600000,-87.697466,0.000000,top
R25,3k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,211.850000,-87.697466,0.000000,top
R26,1k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,183.761200,-45.818800,0.000000,top
R27,11k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,183.761200,-42.730800,0.000000,top
R28,15k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,207.607200,-25.405800,270.000000,top
R29,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,203.907200,-21.680800,0.000000,top
R30,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.144000,-153.378000,270.000000,top
R31,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,80.100000,-109.700000,0.000000,top
R32,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.700000,-118.500000,90.000000,top
R33,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,79.200000,-100.628000,90.000000,top
R34,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,80.900000,-100.628000,90.000000,top
R35,2k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,89.800000,-114.644000,90.000000,top
